,lr1,lr2,wd1,wd2,sched,model_size,backbone,dataset,loss_function,model_type,ft_strategy
99,9.613989345165609e-05,8.700690210600536e-05,0.00047751184301655973,0.0055227614309091245,True,1,convnext_tiny.fb_in22k,caltech101,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
100,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,vit_base_patch16_clip_224.laion2b_ft_in1k,caltech101,TRADES_v2,fully attention,full_fine_tuning_50epochs
101,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,vit_base_patch16_224.augreg_in21k_ft_in1k,caltech101,TRADES_v2,fully attention,full_fine_tuning_50epochs
102,0.00019320752621429857,0.00014239437572248639,0.005708357416333576,0.001298843859025954,False,1,vit_small_patch16_224.augreg_in21k_ft_in1k,caltech101,TRADES_v2,fully attention,full_fine_tuning_50epochs
103,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,eva02_base_patch14_224.mim_in22k,caltech101,TRADES_v2,fully attention,full_fine_tuning_50epochs
104,0.00019320752621429857,0.00014239437572248639,0.005708357416333576,0.001298843859025954,False,1,eva02_tiny_patch14_224.mim_in22k,caltech101,TRADES_v2,fully attention,full_fine_tuning_50epochs
105,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,swin_base_patch4_window7_224.ms_in22k_ft_in1k,caltech101,TRADES_v2,fully attention,full_fine_tuning_50epochs
106,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,1,swin_tiny_patch4_window7_224.ms_in1k,caltech101,TRADES_v2,fully attention,full_fine_tuning_50epochs
107,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,convnext_base.clip_laion2b_augreg_ft_in12k_in1k,caltech101,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
108,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,convnext_base.fb_in22k_ft_in1k,caltech101,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
109,0.00042072361008387834,2.618876524868541e-06,0.0046499184692037525,0.004383222605120044,True,1,convnext_tiny.fb_in22k_ft_in1k,caltech101,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
110,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,1,coatnet_0_rw_224.sw_in1k,caltech101,TRADES_v2,hybrid,full_fine_tuning_50epochs
111,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,coatnet_2_rw_224.sw_in12k_ft_in1k,caltech101,TRADES_v2,hybrid,full_fine_tuning_50epochs
112,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,coatnet_2_rw_224.sw_in12k,caltech101,TRADES_v2,hybrid,full_fine_tuning_50epochs
113,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,0,regnetx_004.pycls_in1k,caltech101,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
114,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,0,efficientnet-b0,caltech101,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
115,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,0,deit_tiny_patch16_224.fb_in1k,caltech101,TRADES_v2,fully attention,full_fine_tuning_50epochs
116,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,0,mobilevit-small,caltech101,TRADES_v2,hybrid,full_fine_tuning_50epochs
117,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,0,mobilenetv3_large_100.ra_in1k,caltech101,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
118,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,0,edgenext_small.usi_in1k,caltech101,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
119,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,0,coat_tiny.in1k,caltech101,TRADES_v2,hybrid,full_fine_tuning_50epochs
120,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,CLIP-convnext_base_w-laion_aesthetic-s13B-b82K,fgvc-aircraft-2013b,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
121,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,CLIP-convnext_base_w-laion2B-s13B-b82K,fgvc-aircraft-2013b,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
122,0.0026674574591455755,1.0525948689799705e-05,0.0032543911150884836,1.2869165107815028e-06,True,1,deit_small_patch16_224.fb_in1k,fgvc-aircraft-2013b,TRADES_v2,fully attention,full_fine_tuning_50epochs
123,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,1,robust_resnet50,fgvc-aircraft-2013b,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
124,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,1,vit_small_patch16_224.augreg_in21k,fgvc-aircraft-2013b,TRADES_v2,fully attention,full_fine_tuning_50epochs
125,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,convnext_base.fb_in1k,fgvc-aircraft-2013b,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
126,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,1,resnet50.a1_in1k,fgvc-aircraft-2013b,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
127,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,robust_vit_base_patch16_224,fgvc-aircraft-2013b,TRADES_v2,fully attention,full_fine_tuning_50epochs
128,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,vit_base_patch16_224.mae,fgvc-aircraft-2013b,TRADES_v2,fully attention,full_fine_tuning_50epochs
129,0.00019320752621429857,0.00014239437572248639,0.005708357416333576,0.001298843859025954,False,1,vit_small_patch16_224.dino,fgvc-aircraft-2013b,TRADES_v2,fully attention,full_fine_tuning_50epochs
130,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,convnext_base.fb_in22k,fgvc-aircraft-2013b,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
131,0.00012164941464151844,0.003995972283135062,1.0010539860510488e-06,1.6193110912440726e-05,False,2,robust_convnext_base,fgvc-aircraft-2013b,TRADES_v2,fully convolutional,full_fine_tuning_50epochs
