backbone_name,model_size,model_type,loss_function,pre_training_strategy,dataset
"convnext_b,rob-sup,in1k",large,fully convolutional,Classic AT,supervised (robust),flowers-102
"convnext_b,rob-sup,in1k",large,fully convolutional,Classic AT,supervised (robust),oxford-iiit-pet
"convnext_b,sup,in1k",large,fully convolutional,TRADES,supervised,uc-merced-land-use-dataset
"convnext_b,sup,in1k",large,fully convolutional,TRADES,supervised,stanford_cars
"convnext_b,sup,in1k",large,fully convolutional,TRADES,supervised,caltech101
"convnext_b,sup,in1k",large,fully convolutional,TRADES,supervised,fgvc-aircraft-2013b
"convnext_b,sup,in1k",large,fully convolutional,TRADES,supervised,flowers-102
"convnext_b,sup,in1k",large,fully convolutional,TRADES,supervised,oxford-iiit-pet
"convnext_b,sup,in1k",large,fully convolutional,Classic AT,supervised,uc-merced-land-use-dataset
"convnext_b,sup,in1k",large,fully convolutional,Classic AT,supervised,stanford_cars
"convnext_b,sup,in1k",large,fully convolutional,Classic AT,supervised,caltech101
"convnext_b,sup,in1k",large,fully convolutional,Classic AT,supervised,fgvc-aircraft-2013b
"convnext_b,sup,in1k",large,fully convolutional,Classic AT,supervised,flowers-102
"convnext_b,sup,in1k",large,fully convolutional,Classic AT,supervised,oxford-iiit-pet
"convnext_b,sup,in22k",large,fully convolutional,TRADES,supervised,uc-merced-land-use-dataset
"convnext_b,sup,in22k",large,fully convolutional,TRADES,supervised,stanford_cars
"convnext_b,sup,in22k",large,fully convolutional,TRADES,supervised,caltech101
"convnext_b,sup,in22k",large,fully convolutional,TRADES,supervised,fgvc-aircraft-2013b
"convnext_b,sup,in22k",large,fully convolutional,TRADES,supervised,flowers-102
"convnext_b,sup,in22k",large,fully convolutional,TRADES,supervised,oxford-iiit-pet
"convnext_b,sup,in22k",large,fully convolutional,Classic AT,supervised,uc-merced-land-use-dataset
"convnext_b,sup,in22k",large,fully convolutional,Classic AT,supervised,stanford_cars
"convnext_b,sup,in22k",large,fully convolutional,Classic AT,supervised,caltech101
"convnext_b,sup,in22k",large,fully convolutional,Classic AT,supervised,fgvc-aircraft-2013b
"convnext_b,sup,in22k",large,fully convolutional,Classic AT,supervised,flowers-102
"convnext_b,sup,in22k",large,fully convolutional,Classic AT,supervised,oxford-iiit-pet
"convnext_b,sup,in22k-in1k",large,fully convolutional,TRADES,supervised (multistep),uc-merced-land-use-dataset
"convnext_b,sup,in22k-in1k",large,fully convolutional,TRADES,supervised (multistep),stanford_cars
"convnext_b,sup,in22k-in1k",large,fully convolutional,TRADES,supervised (multistep),caltech101
"convnext_b,sup,in22k-in1k",large,fully convolutional,TRADES,supervised (multistep),fgvc-aircraft-2013b
"convnext_b,sup,in22k-in1k",large,fully convolutional,TRADES,supervised (multistep),flowers-102
"convnext_b,sup,in22k-in1k",large,fully convolutional,TRADES,supervised (multistep),oxford-iiit-pet
"convnext_b,sup,in22k-in1k",large,fully convolutional,Classic AT,supervised (multistep),uc-merced-land-use-dataset
"convnext_b,sup,in22k-in1k",large,fully convolutional,Classic AT,supervised (multistep),stanford_cars
"convnext_b,sup,in22k-in1k",large,fully convolutional,Classic AT,supervised (multistep),caltech101
"convnext_b,sup,in22k-in1k",large,fully convolutional,Classic AT,supervised (multistep),fgvc-aircraft-2013b
"convnext_b,sup,in22k-in1k",large,fully convolutional,Classic AT,supervised (multistep),flowers-102
"convnext_b,sup,in22k-in1k",large,fully convolutional,Classic AT,supervised (multistep),oxford-iiit-pet
"convnext_t,rob-sup,in1k",medium,fully convolutional,TRADES,supervised (robust),uc-merced-land-use-dataset
"convnext_t,rob-sup,in1k",medium,fully convolutional,TRADES,supervised (robust),stanford_cars
"convnext_t,rob-sup,in1k",medium,fully convolutional,TRADES,supervised (robust),caltech101
"convnext_t,rob-sup,in1k",medium,fully convolutional,TRADES,supervised (robust),fgvc-aircraft-2013b
"convnext_t,rob-sup,in1k",medium,fully convolutional,TRADES,supervised (robust),flowers-102
