dataset,,,Aircraft,Aircraft,Aircraft,Aircraft,CIFAR10,CIFAR10,CIFAR10,CIFAR10,CIFAR100,CIFAR100,CIFAR100,CIFAR100,EuroSAT,EuroSAT,EuroSAT,EuroSAT,Flowers,Flowers,Flowers,Flowers
,,,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant,mean_clean_accuracy,mean_robust_accuracy,mean_nat_dormant,mean_adv_dormant
backbone,loss_function,init_lr,,,,,,,,,,,,,,,,,,,,
robust_wideresnet_28_10,APGD,0.001,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0076397919375812,0.0039011703511053,0.588252598548735,0.588252598548735
robust_wideresnet_28_10,TRADES_v2,0.0001,-2.0,-2.0,-2.0,-2.0,,,,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0121911573472041,0.0001625487646293,0.04069425377525,0.04069425377525
robust_wideresnet_28_10,TRADES_v2,0.0005,-2.0,-2.0,-2.0,-2.0,,,,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0
robust_wideresnet_28_10,TRADES_v2,0.001,-2.0,-2.0,-2.0,-2.0,,,,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0089401820546163,0.0040637191157347,0.2256324769562659,0.2256324769562659
vit_base_patch16_224.augreg_in1k,APGD,0.0001,0.0125899280575539,0.0092925659472422,0.6262800446684613,0.6262800446684613,,,,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0110533159947984,0.0008127438231469,0.5928667489390691,0.5855656392897354
vit_base_patch16_224.augreg_in1k,APGD,0.0005,0.0107913669064748,0.0023980815347721,0.6466870330257277,0.6466870330257277,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0105656697009102,0.0006501950585175,0.6077508693250615,0.6077508693250615
vit_base_patch16_224.augreg_in1k,APGD,0.001,0.0089928057553956,0.0062949640287769,0.6298294499742852,0.6298294499742852,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0180429128738621,0.0162548764629388,0.6070365852718203,0.6070365852718203
vit_base_patch16_224.augreg_in1k,TRADES_v2,0.0001,0.0158872901678657,0.0065947242206235,0.6079558597858763,0.6079558597858763,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.2264304291287386,0.0594928478543563,0.570280407283886,0.570280407283886
vit_base_patch16_224.augreg_in1k,TRADES_v2,0.0005,0.014388489208633,0.0050959232613908,0.6192027904814662,0.6192027904814662,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0746098829648894,0.0445383615084525,0.5852710246561407,0.5852710246561407
vit_base_patch16_224.augreg_in1k,TRADES_v2,0.001,0.0101918465227817,0.0101918465227817,0.6581215918206388,0.6581215918206388,,,,,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,0.0445383615084525,0.0308842652795838,0.5778532747218962,0.5778532747218962
vit_base_patch16_224.augreg_in21k,APGD,0.0001,0.0107913669064748,0.0098920863309352,0.6543727475142642,0.6543727475142642,,,,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0126788036410923,0.0089401820546163,0.6360083705621462,0.6360083705621462
vit_base_patch16_224.augreg_in21k,APGD,0.0005,0.0107913669064748,0.001199040767386,0.6602653621883238,0.6602653621883238,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0097529258777633,0.0026007802340702,0.6544047037244969,0.6544047037244969
