backbone,ft_type,freeze_epochs,dataset,pruning_strategy,pruning_ratio,batch_strategy,aug,iterations,delta,batch_size,sample_size,loss_function,init_lr,sched,momentum,weight_decay,seed,log_dir,statedict_dir,data_dir,task,num_workers,epsilon,step_size,perturb_steps,beta,distance,unsup_fraction,exp,timestamp,clean_acc,robust_acc,id,nat_zero_mean,nat_dormant_mean,nat_overactive_mean,adv_zero_mean,adv_dormant_mean,adv_overactive_mean
deit_small_patch16_224.fb_in1k,full_fine_tuning,10,EuroSAT,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/04/22/12,0.0953125,0.0,fe73b0a729bb7df0c7d92f8670f3970f,0.1222564304858355,0.2223233429346842,0.0591758422927311,0.1159123237627439,0.2141172660554995,0.0583525939681126
robust_deit_small_patch16_224,full_fine_tuning,10,EuroSAT,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/04/25/21,0.071875,0.028125,2dcf442e6ba2dda95be56962d8e18c44,0.2350163909185107,0.3727886886016779,0.0652526113234907,0.2349680455420789,0.3728381355183322,0.0651020062964039
vit_base_patch16_224.augreg_in21k,full_fine_tuning,10,EuroSAT,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/04/30/31,0.26875,0.25625,08cd0c9485b86f74ad57c1fb73778b6f,0.4751268393744079,0.5639230607953885,0.078017245969064,0.4748150115055947,0.5636811654743302,0.0780030177324829
vit_base_patch16_224.augreg_in1k,full_fine_tuning,10,EuroSAT,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/04/31/53,0.3125,0.25,6a45bd61f50bd314651cda54ab59389b,0.3995393478363839,0.5044696551797574,0.0737021124984134,0.3957805690144134,0.5018614511234677,0.0733525568538915
convnext_base,full_fine_tuning,10,EuroSAT,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/04/40/36,0.05,0.0,663d62923e080ce7318ac4402eeb568a,0.0063557330827067,0.0831296992481203,0.0413416353383458,0.0055098684210526,0.0809680451127819,0.0412124060150375
robust_convnext_base,full_fine_tuning,10,EuroSAT,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/04/42/40,0.11875,0.00625,0b28d2675d5f0176e89b0ebf4d20e19b,0.0014567669172932,0.1318256578947368,0.0602913533834586,0.0012570488721804,0.1182330827067669,0.0577185150375939
convnext_base.fb_in22k,full_fine_tuning,10,EuroSAT,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/04/43/09,0.11875,0.025,2e2b61a3f96385d19c4cbfacc903d524,0.0060150375939849,0.0815554511278195,0.0414708646616541,0.004734492481203,0.0758458646616541,0.0408834586466165
convnext_tiny,full_fine_tuning,10,EuroSAT,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/04/44/42,0.20625,0.1,c8305897368d12e681212958f389a6b2,0.2747125788999098,0.4296381875563571,0.0857754733994589,0.2747971145175834,0.4284828674481515,0.0853809738503156
robust_vit_base_patch16_224,full_fine_tuning,10,EuroSAT,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/04/46/59,0.33125,0.10625,a04836a989e4f61e4585ed1f4a038934,0.2719970220453827,0.4061872083440989,0.0699364490458391,0.2720343214440761,0.3832900896935794,0.0660301249404402
convnext_tiny.fb_in22k,full_fine_tuning,10,EuroSAT,random,0.0,random,aug,50,1,2,64,TRADES_v2,0.001,nosched,0.9,0.0001,1,./logs,./state_dicts,~/scratch/data,train,1,0.0156862745098039,0.0078431372549019,10,1.0,l_inf,0.3,RQ1,24/11/20/04/50/24,0.696875,0.40625,cff1261fc4a4a57148e3f2844f1eb574,0.0054666366095581,0.0613446798917944,0.0410843101893597,0.0057766005410279,0.0649233543733092,0.0412815599639314
