,clean_acc,robust_acc,backbone,dataset,loss_function,zero_adv_train0,dormant_adv_train0,overactive_adv_train0,zero_adv_train5,dormant_adv_train5,overactive_adv_train5,zero_adv_val0,dormant_adv_val0,overactive_adv_val0,zero_adv_val5,dormant_adv_val5,overactive_adv_val5
110,0.4653333333333333,0.17933333333333334,convnext_base.clip_laion2b,fgvc-aircraft-2013b,TRADES_v2,0.00837622835751053,0.0052877866167524564,0.022929340196537203,0.0069255966307908284,0.013523631258773983,0.037248479176415536,0.00657463734206832,0.014798783341132429,0.03970519419747309,0.0035329901731399158,0.0053813757604117924,0.022344408048666355
111,0.4653333333333333,0.17933333333333334,convnext_base.clip_laion2b,fgvc-aircraft-2013b,TRADES_v2,0.00837622835751053,0.0052877866167524564,0.022929340196537203,0.0069255966307908284,0.013523631258773983,0.037248479176415536,0.00657463734206832,0.014798783341132429,0.03970519419747309,0.0035329901731399158,0.0053813757604117924,0.022344408048666355
112,0.6,0.24533333333333332,convnext_base.clip_laion2b,dtd,TRADES_v2,0.0034714077965942677,0.0038936060421260027,0.021907397851480038,0.003565229628934653,0.006379884599146221,0.030867382839986864,0.003987427874466388,0.009370455504996012,0.038889149505089836,0.0034714077965942677,0.004186799268189708,0.02210676924520336
113,0.8686666666666667,0.3546666666666667,convnext_base.clip_laion2b,oxford-iiit-pet,TRADES_v2,0.006007415403388558,0.004787159149575257,0.022903271225418877,0.005256488477964988,0.013094288262073497,0.03698315107711081,0.0047167597503167975,0.011087905383207397,0.03404984277467499,0.0038367672595860515,0.004493828319331675,0.02259820716196555
115,0.30466666666666664,0.1,convnext_base.clip_laion2b,fgvc-aircraft-2013b,CLASSIC_AT,0.008282639213851193,0.005053813757604118,0.023444080486663545,0.00814225549836219,0.014506317267197005,0.040383715489003276,0.00431679925128685,0.013383247543284979,0.03686242395882078,0.0035329901731399158,0.005439868975198877,0.022204024333177353
116,0.5626666666666666,0.3313333333333333,convnext_base.clip_laion2b,dtd,CLASSIC_AT,0.0041281606229769665,0.003940516958296196,0.021625932354458883,0.006379884599146221,0.00835014307829432,0.0339165923910494,0.005617582211380589,0.011762912229675846,0.03959281324764272,0.003436224609466623,0.00410470516489187,0.02197776422573533
117,0.8753333333333333,0.614,convnext_base.clip_laion2b_augreg,stanford_cars,TRADES_v2,0.0024690207770427654,0.005310723935525948,0.024550451877387497,0.003167800242243548,0.0085716947731296,0.027019472654430263,0.0033541414329637566,0.010097363272151308,0.03237678188763626,0.0025854840212428958,0.0050894437715457005,0.024236001118047145
119,0.422,0.014666666666666666,convnext_base.clip_laion2b_augreg,fgvc-aircraft-2013b,TRADES_v2,0.002526906878802059,0.005147402901263453,0.02611137108095461,0.0027608797379503978,0.009124941506785214,0.0329433785680861,0.002538605521759476,0.006972391202620496,0.030334581188582125,0.002491810949929808,0.005217594759007955,0.026064576509124943
120,0.7293333333333333,0.278,convnext_base.clip_laion2b_augreg,flowers-102,TRADES_v2,0.0030881527231892197,0.005334081976417743,0.02849522740033689,0.0029477821448624366,0.01104248549504024,0.03668351113606588,0.004854482500467902,0.011299831555306008,0.03637937488302452,0.004374883024518061,0.005860471645143178,0.028869548942541644
121,0.7293333333333333,0.278,convnext_base.clip_laion2b_augreg,flowers-102,TRADES_v2,0.0030881527231892197,0.005334081976417743,0.02849522740033689,0.0029477821448624366,0.01104248549504024,0.03668351113606588,0.004854482500467902,0.011299831555306008,0.03637937488302452,0.004374883024518061,0.005860471645143178,0.028869548942541644
