backbone_name,model_size,model_type,loss_function,pre_training_strategy,dataset,clean_acc,Linf_acc,L2_acc,L1_acc,common_acc
"deit_s,rob-sup,in1k",medium,fully attention,TRADES,supervised (robust),caltech101,0.9546666666666667,0.8346666666666667,0.834,0.692,0.864
"vit_s,sup,in1k",medium,fully attention,TRADES,supervised,caltech101,0.872,0.6026666666666667,0.711,0.682,0.772
"convnext_t,sup,in22k",medium,fully convolutional,TRADES,supervised,caltech101,0.937,0.763,0.842,0.805,0.849
"vit_b,clip,laion2b",large,fully attention,TRADES,fusion,caltech101,0.919,0.774,0.82,0.776,0.832
"vit_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),caltech101,0.917,0.739,0.811,0.666,0.829
"vit_s,sup,ink22k-in1k",medium,fully attention,TRADES,supervised (multistep),caltech101,0.848,0.65,0.712,0.702,0.753
"eva02_b,mim,ink22k",large,fully attention,TRADES,self-supervised,caltech101,0.949,0.824,0.89,0.844,0.856
"eva02_b,mim,ink22k",medium,fully attention,TRADES,self-supervised,caltech101,0.864,0.678,0.756,0.722,0.748
"swin_b,sup,ink22k-in1k",large,fully attention,TRADES,supervised (multistep),caltech101,0.938,0.797,0.8666666666666667,0.836,0.851
"swin_t,sup,in1k",medium,fully attention,TRADES,supervised,caltech101,0.902,0.718,0.793,0.732,0.787
"convnext_b,hybrid,laion2b-in12k-in1k",large,fully convolutional,TRADES,fusion,caltech101,0.92,0.8026666666666666,0.843,0.812,0.828
"convnext_b,sup,in22k-in1k",large,fully convolutional,TRADES,supervised (multistep),caltech101,0.958,0.842,0.898,0.857,0.86
"convnext_t,sup,in22k-in1k",medium,fully convolutional,TRADES,supervised (multistep),caltech101,0.95,0.83,0.871,0.836,0.864
"coatnet_0,sup,in1k",medium,hybrid,TRADES,supervised,caltech101,0.88,0.7346666666666667,0.791,0.731,0.764
"coatnet_2,sup,in12k-in1k",large,hybrid,TRADES,supervised (multistep),caltech101,0.96,0.8413333333333334,0.8813333333333333,0.8,0.8653333333333333
"coatnet_2,sup,in12k",large,hybrid,TRADES,supervised,caltech101,0.952,0.828,0.864,0.816,0.865
"regnetx_004,sup,in1k",small,fully convolutional,TRADES,supervised,caltech101,0.849,0.379,0.468,0.536,0.71
"efficientnet_b0,sup,in1k",small,fully convolutional,TRADES,supervised,caltech101,0.448,0.221,0.297,0.246,0.387
"deit_t,sup,in1k",small,fully attention,TRADES,supervised,caltech101,0.867,0.657,0.731,0.656,0.745
"mobilevit_s,sup,in1k",small,hybrid,TRADES,supervised,caltech101,0.594,0.425,0.474,0.35,0.494
"mobilenet_v3,sup,in1k",small,fully convolutional,TRADES,supervised,caltech101,0.848,0.206,0.481,0.652,0.699
"edgenetx_s,sup,in1k",small,hybrid,TRADES,supervised,caltech101,0.916,0.7426666666666667,0.811,0.794,0.809
"coat_t,sup,in1k",small,hybrid,TRADES,supervised,caltech101,0.912,0.763,0.821,0.758,0.81
"convnext_b,clip,laiona",large,fully convolutional,TRADES,self-supervised (multimodal),fgvc-aircraft-2013b,0.717,0.444,0.33066666666666666,0.046,0.6253333333333333
"convnext_b,clip,laion2b",large,fully convolutional,TRADES,self-supervised (multimodal),fgvc-aircraft-2013b,0.739,0.46,0.33066666666666666,0.04,0.66
"deit_s,sup,in1k",medium,fully attention,TRADES,supervised,fgvc-aircraft-2013b,0.07333333333333333,0.005333333333333333,0.008,0.008,0.044
"resnet50,rob-sup,in1k",medium,fully convolutional,TRADES,supervised (robust),fgvc-aircraft-2013b,0.631,0.349,0.048,0.0,0.52
"vit_s,sup,in22k",medium,fully attention,TRADES,supervised,fgvc-aircraft-2013b,0.455,0.12,0.097,0.010666666666666666,0.394
"convnext_b,sup,in1k",large,fully convolutional,TRADES,supervised,fgvc-aircraft-2013b,0.649,0.305,0.291,0.095,0.586
"resnet50,sup,in1k",medium,fully convolutional,TRADES,supervised,fgvc-aircraft-2013b,0.49,0.0,0.0,0.001,0.428
"vit_b,rob-sup,in1k",large,fully attention,TRADES,supervised (robust),fgvc-aircraft-2013b,0.516,0.222,0.191,0.021,0.47
"vit_b,mae,in1k",large,fully attention,TRADES,self-supervised,fgvc-aircraft-2013b,0.564,0.232,0.17,0.019,0.476
